"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 15 20:44:25 GMT 2024","Sat Jun 15 20:44:27 GMT 2024","1867","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:36 GMT 2024","Sat Jun 15 20:44:39 GMT 2024","3715","CrossBrowser","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Sat Jun 15 20:44:28 GMT 2024","Sat Jun 15 20:44:29 GMT 2024","1905","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:35 GMT 2024","Sat Jun 15 20:44:40 GMT 2024","4570","CrossBrowser","ChromiumTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Sat Jun 15 20:44:23 GMT 2024","Sat Jun 15 20:44:25 GMT 2024","2086","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:32 GMT 2024","Sat Jun 15 20:44:33 GMT 2024","1730","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:32 GMT 2024","Sat Jun 15 20:44:34 GMT 2024","1736","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:21 GMT 2024","Sat Jun 15 20:44:23 GMT 2024","2184","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:21 GMT 2024","Sat Jun 15 20:44:23 GMT 2024","2117","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:34 GMT 2024","Sat Jun 15 20:44:35 GMT 2024","1241","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"unknown","Sat Jun 15 20:44:13 GMT 2024","Sat Jun 15 20:44:13 GMT 2024","2","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Sat Jun 15 20:44:34 GMT 2024","Sat Jun 15 20:44:35 GMT 2024","1437","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Sat Jun 15 20:44:23 GMT 2024","Sat Jun 15 20:44:25 GMT 2024","2005","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:28 GMT 2024","Sat Jun 15 20:44:30 GMT 2024","2075","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:30 GMT 2024","Sat Jun 15 20:44:32 GMT 2024","1724","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:30 GMT 2024","Sat Jun 15 20:44:31 GMT 2024","1741","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:26 GMT 2024","Sat Jun 15 20:44:28 GMT 2024","2127","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 20:44:13 GMT 2024","Sat Jun 15 20:44:13 GMT 2024","10","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testPass","testPass",""
